Номенклатурный номер;Наименование;Производитель;Количество;Цена, руб.;Условия поставки;Сумма, руб.
9000330814;"TDS-P001L4N05, Светодиод красный 140"", 650нМ, 20Лм, 1Вт";TDS;2;120;5-7 рабочих дней Со склада из г.Екатеринбург;240
9000330817;"TDS-P001L4G05, Светодиод зеленый 140"", 530нМ, 80Лм, 1Вт";TDS;2;120;5-7 рабочих дней Со склада из г.Екатеринбург;240
9000330820;"TDS-P001L4U17, Светодиод белый 6000К 140"", 130Лм, 1Вт";TDS;3;120; Из магазина г.Красноярск;360
248653261;BC817-16.215, Транзистор NPN 45В 0.5А 0.31Вт [SOT-23];NXP;6;3;5-7 рабочих дней Со склада из г.Екатеринбург;18
8148632316;ELC09D470F, дроссель 47uH 0.11Ом 1.2А;Panasonic;3;59;9-10 рабочих дней Под заказ из г.Москва;177
9000135840;PMEG2010AEB.115, Диод Шоттки 20В 1А [SOD-523];NXP;6;5;5-7 рабочих дней Со склада из г.Екатеринбург;30
9000048831;ZXLD1350ET5TA, Светодиодный драйвер со встроенным ключом, 350мА, [SOT-23-5];Zetex;3;44;5-7 рабочих дней Со склада из г.Екатеринбург;132
8000724626;RL0805JR-070R33L, 0805, Чип резистор (SMD) 0.33Ом +5% 0.125Вт;Yageo;10;20;9-10 рабочих дней Под заказ из г.Москва;200
;;;;;Сумма товаров в заказе, руб.:;1397
;;;;;Кол-во товаров в заказе:;8
