ЛЮЙЯ;116,6707227;;;;;;;
ЛХМ;56,97882161;;;;;;;
;;;;;;;;
#;V;T1;T2;;;;;
0,00;93,0008431;кнфэ;кнфэ;;;;;
0,03;112,8975456;хярхмю;кнфэ;;;;16666,66667;65,10416667
0,07;112,1880013;;кнфэ;1;;;256;
0,10;90,63225911;кнфэ;кнфэ;2;;;;
0,13;85,77585612;кнфэ;кнфэ;3;;;12,75;
0,17;79,2661556;кнфэ;кнфэ;4;;;;
0,20;69,37729167;кнфэ;кнфэ;5;;;;
0,23;66,24520508;кнфэ;кнфэ;6;;;;
0,27;65,32542643;кнфэ;кнфэ;7;;;;
0,30;62,99867513;кнфэ;кнфэ;8;;;;
0,33;59,76865234;кнфэ;кнфэ;9;;;;
0,37;60,97306966;кнфэ;кнфэ;10;;;;
0,40;58,97232422;кнфэ;хярхмю;11;;;;
0,43;61,75593424;кнфэ;кнфэ;12;;;;
0,47;59,27678711;кнфэ;кнфэ;13;;;;
0,50;59,32518229;кнфэ;кнфэ;14;;;;
0,53;60,17088542;кнфэ;кнфэ;15;;;;
0,57;64,94782878;кнфэ;кнфэ;16;;;;
0,60;80,86839844;кнфэ;кнфэ;17;;;;
0,63;83,83262695;кнфэ;кнфэ;18;;;;
0,67;87,58336914;кнфэ;кнфэ;19;;;;
0,70;93,62095703;кнфэ;кнфэ;20;;;;
0,73;116,6707227;хярхмю;кнфэ;1;;;;
0,77;95,17613607;кнфэ;кнфэ;2;;;;
0,80;89,29696289;кнфэ;кнфэ;3;;;;
0,83;86,28184245;кнфэ;кнфэ;4;;;;
0,87;82,14211263;кнфэ;кнфэ;5;;;;
0,90;71,0572168;кнфэ;кнфэ;6;;;;
0,93;66,14601563;кнфэ;кнфэ;7;;;;
0,97;65,22616862;кнфэ;кнфэ;8;;;;
1,00;62,17597656;кнфэ;кнфэ;9;;;;
1,03;60,68817383;кнфэ;кнфэ;10;;;;
1,07;60,10896484;кнфэ;кнфэ;11;;;;
1,10;60,51253581;кнфэ;кнфэ;12;;;;
1,13;60,87233073;кнфэ;кнфэ;13;;;;
1,17;58,94042643;кнфэ;хярхмю;14;;;;
1,20;59,47191081;кнфэ;кнфэ;15;;;;
1,23;60,65770182;кнфэ;кнфэ;16;;;;
1,27;66,81378581;кнфэ;кнфэ;17;;;;
1,30;80,58138346;кнфэ;кнфэ;18;;;;
1,33;84,27980469;кнфэ;кнфэ;19;;;;
1,37;89,12451172;кнфэ;кнфэ;20;;;;
1,40;95,79716797;кнфэ;кнфэ;21;;;;
1,43;116,3680534;хярхмю;кнфэ;1;;;;
1,47;93,92922852;кнфэ;кнфэ;2;;;;
1,50;89,27543945;кнфэ;кнфэ;3;;;;
1,53;85,37098633;кнфэ;кнфэ;4;;;;
1,57;81,77214844;кнфэ;кнфэ;5;;;;
1,60;69,0847168;кнфэ;кнфэ;6;;;;
1,63;65,8889681;кнфэ;кнфэ;7;;;;
1,67;64,30553711;кнфэ;кнфэ;8;;;;
1,70;60,59928385;кнфэ;кнфэ;9;;;;
1,73;61,23385742;кнфэ;кнфэ;10;;;;
1,77;58,979375;кнфэ;хярхмю;11;;;;
1,80;61,84910807;кнфэ;кнфэ;12;;;;
1,83;60,08413737;кнфэ;кнфэ;13;;;;
1,87;58,90423503;кнфэ;хярхмю;14;;;;
1,90;59,67412109;кнфэ;кнфэ;15;;;;
1,93;61,98369141;кнфэ;кнфэ;16;;;;
1,97;75,52533854;кнфэ;кнфэ;17;;;;
2,00;81,91739909;кнфэ;кнфэ;18;;;;
2,03;85,29876302;кнфэ;кнфэ;19;;;;
2,07;90,94558268;кнфэ;кнфэ;20;;;;
